Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,518441.000000,518441.000000,0.000000,1,10,1,1,378789.608000,355537.263000,28468.000000,28801.000000,9,1,1,364181.260000,314816.894000,82200.000000,37553.000000,10,0,0,0.000000,0.000000,0.000000,22567.000000,8,0,0,0.000000,0.000000,0.000000,60750.000000,6,1,1,235299.105000,179940.055000,68355.000000,33856.000000,2,0,0,0.000000,0.000000,0.000000,30784.000000,1,1,1,109956.303000,105401.813000,17711.000000,40584.000000,3,0,0,0.000000,0.000000,0.000000,21061.000000,2,0,0,0.000000,0.000000,0.000000,24051.000000,0,0,0,0.000000,0.000000,0.000000,21700.000000
2,464643.000000,491542.000000,1.000000,1,9,1,1,424416.869000,355537.263000,84423.000000,31128.000000,10,1,1,314029.294000,305370.681000,17466.000000,31182.000000,8,1,1,276726.397000,261291.504000,51810.000000,24351.000000,1,1,1,220678.091000,197292.517000,28590.000000,24802.000000,7,0,0,0.000000,0.000000,0.000000,37667.000000,8,0,0,0.000000,0.000000,0.000000,20230.000000,2,0,0,0.000000,0.000000,0.000000,53504.000000,3,0,0,0.000000,0.000000,0.000000,15838.000000,7,0,0,0.000000,0.000000,0.000000,25144.000000,5,0,0,0.000000,0.000000,0.000000,18508.000000
3,527474.000000,503519.333333,0.000000,1,4,1,1,404340.097000,355537.263000,60494.000000,36195.000000,5,1,1,336260.158000,309726.445000,31146.000000,26865.000000,2,1,1,349751.727000,273971.323000,132674.000000,10329.000000,2,0,0,0.000000,0.000000,0.000000,40221.000000,1,1,0,150660.972000,149809.594000,0.000000,33451.000000,0,0,0,0.000000,0.000000,0.000000,29597.000000,9,0,0,0.000000,0.000000,0.000000,45647.000000,10,1,1,71434.674000,59109.728000,21693.000000,20677.000000,9,0,0,0.000000,0.000000,0.000000,24466.000000,5,0,0,0.000000,0.000000,0.000000,14019.000000
4,504434.000000,503748.000000,0.000000,1,5,1,1,380802.382000,355537.263000,31146.000000,31584.000000,6,1,1,371104.393000,315746.663000,68355.000000,32956.000000,3,1,1,315358.561000,265985.308000,94642.000000,41704.000000,3,0,0,0.000000,0.000000,0.000000,39687.000000,5,0,0,0.000000,0.000000,0.000000,29974.000000,1,1,1,127510.115000,119544.821000,16944.000000,16549.000000,5,0,0,0.000000,0.000000,0.000000,20928.000000,9,0,0,0.000000,0.000000,0.000000,9270.000000,6,0,0,0.000000,0.000000,0.000000,30206.000000,10,1,1,35754.822000,19958.141000,20432.000000,20057.000000
5,518963.000000,506791.000000,1.000000,1,2,1,1,490048.954000,355537.263000,165374.000000,44841.000000,3,1,1,309758.449000,284856.605000,77654.000000,39005.000000,10,1,0,191987.839000,193398.878000,0.000000,29650.000000,1,1,1,174529.738000,164692.321000,15123.000000,31333.000000,9,0,0,0.000000,0.000000,0.000000,23390.000000,5,0,0,0.000000,0.000000,0.000000,29131.000000,1,1,0,77787.229000,77601.669000,0.000000,15023.000000,3,0,0,0.000000,0.000000,0.000000,28075.000000,3,0,0,0.000000,0.000000,0.000000,16394.000000,3,0,0,0.000000,0.000000,0.000000,3970.000000
6,473423.000000,501229.666667,0.000000,1,4,1,1,404340.097000,355537.263000,60494.000000,36962.000000,6,1,1,330270.390000,310567.578000,43575.000000,35740.000000,5,1,1,274839.207000,249420.675000,32219.000000,19859.000000,3,1,1,255217.177000,214001.773000,104394.000000,44526.000000,4,0,0,0.000000,0.000000,0.000000,14154.000000,9,0,0,0.000000,0.000000,0.000000,16780.000000,3,0,0,0.000000,0.000000,0.000000,19743.000000,2,0,0,0.000000,0.000000,0.000000,22997.000000,4,0,0,0.000000,0.000000,0.000000,10640.000000,6,0,0,0.000000,0.000000,0.000000,11340.000000
7,513294.000000,502953.142857,0.000000,1,0,0,0,0.000000,0.000000,0.000000,17033.000000,4,1,1,373469.328000,321364.918000,60494.000000,53117.000000,9,1,1,341037.119000,270118.968000,84423.000000,36802.000000,6,1,1,234314.641000,221226.496000,40053.000000,26430.000000,2,0,0,0.000000,0.000000,0.000000,28516.000000,10,1,1,153363.299000,140796.915000,18503.000000,40895.000000,7,0,0,0.000000,0.000000,0.000000,40306.000000,3,0,0,0.000000,0.000000,0.000000,28125.000000,0,0,0,0.000000,0.000000,0.000000,23481.000000,5,0,0,0.000000,0.000000,0.000000,15116.000000
8,432178.000000,494106.250000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,13587.000000,10,1,1,346069.042000,321229.051000,28468.000000,47505.000000,9,1,1,311332.208000,269218.146000,61851.000000,44429.000000,0,0,0,0.000000,0.000000,0.000000,60888.000000,1,1,1,200684.116000,179102.252000,27823.000000,17158.000000,7,0,0,0.000000,0.000000,0.000000,30072.000000,3,0,0,0.000000,0.000000,0.000000,16667.000000,10,0,0,0.000000,0.000000,0.000000,6882.000000,0,0,0,0.000000,0.000000,0.000000,22939.000000,3,0,0,0.000000,0.000000,0.000000,53909.000000
9,497439.000000,494476.555556,1.000000,1,8,1,1,414622.511000,355537.263000,75036.000000,52691.000000,4,1,1,349037.187000,301566.593000,59338.000000,31662.000000,0,0,0,0.000000,0.000000,0.000000,28084.000000,4,1,1,242646.741000,224783.240000,35562.000000,49462.000000,2,0,0,0.000000,0.000000,0.000000,40696.000000,4,0,0,0.000000,0.000000,0.000000,19310.000000,9,0,0,0.000000,0.000000,0.000000,20148.000000,2,0,0,0.000000,0.000000,0.000000,50275.000000,1,0,0,0.000000,0.000000,0.000000,18345.000000,6,0,0,0.000000,0.000000,0.000000,16830.000000
10,473040.000000,492332.900000,0.000000,1,6,1,1,407115.345000,355537.263000,68355.000000,26354.000000,5,1,1,333707.125000,306561.004000,31639.000000,53499.000000,4,1,1,269155.098000,252220.594000,34314.000000,41566.000000,3,0,0,0.000000,0.000000,0.000000,30616.000000,3,0,0,0.000000,0.000000,0.000000,48323.000000,1,0,0,0.000000,0.000000,0.000000,25590.000000,6,0,0,0.000000,0.000000,0.000000,33714.000000,2,0,0,0.000000,0.000000,0.000000,16007.000000,5,0,0,0.000000,0.000000,0.000000,38790.000000,6,0,0,0.000000,0.000000,0.000000,24273.000000
11,462631.000000,489632.727273,0.000000,1,3,1,1,450486.936000,355537.263000,121538.000000,36998.000000,3,1,1,320531.443000,292625.642000,77654.000000,27801.000000,9,1,0,200860.671000,208584.871000,0.000000,53694.000000,10,0,0,0.000000,0.000000,0.000000,15812.000000,7,0,0,0.000000,0.000000,0.000000,45744.000000,9,0,0,0.000000,0.000000,0.000000,26313.000000,3,0,0,0.000000,0.000000,0.000000,12290.000000,2,0,0,0.000000,0.000000,0.000000,21174.000000,9,0,0,0.000000,0.000000,0.000000,10701.000000,7,0,0,0.000000,0.000000,0.000000,12912.000000
12,537214.000000,493597.833333,0.000000,1,2,1,1,490048.954000,355537.263000,165374.000000,33048.000000,1,1,1,301893.944000,292225.098000,19005.000000,41511.000000,9,1,1,264832.339000,246473.514000,50052.000000,30527.000000,7,1,1,190722.897000,183001.648000,84877.000000,24495.000000,5,0,0,0.000000,0.000000,0.000000,34452.000000,7,0,0,0.000000,0.000000,0.000000,25659.000000,6,0,0,0.000000,0.000000,0.000000,4749.000000,3,0,0,0.000000,0.000000,0.000000,20479.000000,10,0,0,0.000000,0.000000,0.000000,1926.000000,1,0,0,0.000000,0.000000,0.000000,1060.000000
13,498548.000000,493978.615385,1.000000,1,8,1,1,414622.511000,355537.263000,75036.000000,33975.000000,3,1,1,351990.726000,305242.728000,99766.000000,20117.000000,9,0,0,0.000000,0.000000,0.000000,46131.000000,4,1,1,219335.895000,182211.129000,54578.000000,36636.000000,0,0,0,0.000000,0.000000,0.000000,34494.000000,10,0,0,0.000000,0.000000,0.000000,24166.000000,9,0,0,0.000000,0.000000,0.000000,6444.000000,0,0,0,0.000000,0.000000,0.000000,20757.000000,10,0,0,0.000000,0.000000,0.000000,36774.000000,0,0,0,0.000000,0.000000,0.000000,9674.000000
