Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,498562.000000,498562.000000,0.000000,1,5,1,1,367815.077000,356099.052000,12067.000000,19235.000000,10,1,1,392172.482000,320164.973000,82314.000000,28023.000000,1,1,1,289627.640000,277946.865000,13385.000000,32512.000000,3,1,1,286733.543000,238683.394000,54216.000000,36345.000000,8,1,1,227570.846000,197844.420000,39515.000000,33222.000000,0,0,0,0.000000,0.000000,0.000000,29310.000000,2,1,1,138609.631000,117272.386000,36504.000000,15512.000000,6,1,1,82157.305000,76307.410000,9663.000000,24979.000000,6,0,0,0.000000,0.000000,0.000000,20068.000000,1,0,0,0.000000,0.000000,0.000000,11692.000000
2,532940.000000,515751.000000,1.000000,1,0,0,0,0.000000,0.000000,0.000000,41018.000000,0,0,0,0.000000,0.000000,0.000000,58231.000000,2,1,1,345618.388000,285024.201000,64559.000000,26784.000000,7,1,1,277006.163000,245545.569000,39115.000000,39587.000000,4,1,1,212856.953000,198989.812000,20098.000000,55386.000000,1,1,1,153571.557000,151309.036000,9659.000000,44303.000000,4,0,0,0.000000,0.000000,0.000000,26753.000000,7,0,0,0.000000,0.000000,0.000000,28298.000000,10,0,0,0.000000,0.000000,0.000000,37316.000000,10,0,0,0.000000,0.000000,0.000000,41833.000000
3,446457.000000,492653.000000,0.000000,1,4,1,1,386964.503000,356099.052000,32526.000000,38309.000000,8,1,1,365037.494000,318070.709000,50835.000000,31214.000000,4,1,1,289712.624000,278235.269000,18820.000000,34073.000000,4,1,1,240763.260000,235353.988000,18820.000000,50908.000000,0,0,0,0.000000,0.000000,0.000000,28447.000000,0,0,0,0.000000,0.000000,0.000000,22382.000000,6,1,1,117345.862000,114079.957000,6015.000000,25636.000000,0,0,0,0.000000,0.000000,0.000000,37346.000000,5,0,0,0.000000,0.000000,0.000000,25048.000000,1,0,0,0.000000,0.000000,0.000000,26078.000000
4,550353.000000,507078.000000,0.000000,1,1,1,1,372507.803000,356099.052000,17231.000000,31385.000000,4,1,1,344514.658000,319986.201000,27830.000000,51967.000000,3,1,1,347316.656000,282923.306000,76512.000000,46049.000000,10,1,1,267566.476000,225155.317000,55084.000000,28483.000000,8,1,1,204399.898000,181473.920000,34987.000000,29442.000000,5,0,0,0.000000,0.000000,0.000000,28672.000000,4,0,0,0.000000,0.000000,0.000000,27379.000000,3,0,0,0.000000,0.000000,0.000000,28787.000000,10,0,0,0.000000,0.000000,0.000000,42754.000000,0,0,0,0.000000,0.000000,0.000000,23791.000000
5,514593.000000,508581.000000,1.000000,1,0,0,0,0.000000,0.000000,0.000000,21838.000000,3,1,1,396221.459000,320357.012000,78912.000000,33483.000000,3,1,1,332369.160000,282942.407000,54216.000000,38090.000000,1,1,1,258959.665000,242008.070000,17231.000000,34613.000000,6,1,1,212537.650000,203219.275000,9663.000000,39166.000000,0,0,0,0.000000,0.000000,0.000000,41192.000000,0,0,0,0.000000,0.000000,0.000000,13233.000000,7,1,1,124062.497000,100517.031000,30943.000000,28787.000000,1,1,1,63684.185000,59761.110000,11582.000000,30414.000000,2,0,0,0.000000,0.000000,0.000000,31230.000000
6,456527.000000,499905.333333,0.000000,1,5,1,1,367815.077000,356099.052000,12067.000000,29731.000000,4,1,1,345240.440000,320148.828000,27830.000000,32718.000000,9,1,1,292155.321000,282468.681000,12618.000000,39451.000000,1,1,1,247857.147000,242568.475000,11582.000000,39703.000000,9,1,0,196351.348000,197183.551000,0.000000,47933.000000,0,0,0,0.000000,0.000000,0.000000,30308.000000,8,0,0,0.000000,0.000000,0.000000,32368.000000,10,0,0,0.000000,0.000000,0.000000,36419.000000,6,0,0,0.000000,0.000000,0.000000,23410.000000,3,1,1,77398.522000,26705.062000,51816.000000,28573.000000
7,568591.000000,509717.571429,1.000000,1,0,0,0,0.000000,0.000000,0.000000,57945.000000,3,1,1,391713.678000,320281.954000,76512.000000,49830.000000,0,0,0,0.000000,0.000000,0.000000,31738.000000,2,1,1,288228.243000,244744.583000,50759.000000,33373.000000,9,1,1,209865.284000,198662.420000,14958.000000,38690.000000,3,1,1,196439.455000,163713.516000,39676.000000,37519.000000,10,1,1,131820.647000,120295.410000,57454.000000,36978.000000,8,0,0,0.000000,0.000000,0.000000,29444.000000,9,0,0,0.000000,0.000000,0.000000,11030.000000,4,0,0,0.000000,0.000000,0.000000,2685.000000
8,570566.000000,517323.625000,0.000000,1,5,1,1,367815.077000,356099.052000,12067.000000,55659.000000,10,1,1,384135.850000,319738.652000,75594.000000,45635.000000,10,1,1,322796.342000,276423.415000,61014.000000,47194.000000,5,1,0,222390.614000,223169.222000,0.000000,41498.000000,3,1,1,207896.816000,184360.649000,35136.000000,37525.000000,0,0,0,0.000000,0.000000,0.000000,43703.000000,7,1,1,102415.536000,92436.554000,22735.000000,19415.000000,7,0,0,0.000000,0.000000,0.000000,21094.000000,4,0,0,0.000000,0.000000,0.000000,30636.000000,9,0,0,0.000000,0.000000,0.000000,21661.000000
9,502076.000000,515629.444444,1.000000,1,10,1,1,434409.682000,356099.052000,82314.000000,27263.000000,10,1,1,371765.398000,317120.395000,61014.000000,50855.000000,1,1,1,282079.384000,273336.709000,14667.000000,29514.000000,4,1,1,239300.787000,232744.294000,17646.000000,38495.000000,10,1,1,194370.329000,181549.262000,57454.000000,21389.000000,10,0,0,0.000000,0.000000,0.000000,22611.000000,4,0,0,0.000000,0.000000,0.000000,21663.000000,7,0,0,0.000000,0.000000,0.000000,18230.000000,6,0,0,0.000000,0.000000,0.000000,23644.000000,1,0,0,0.000000,0.000000,0.000000,15317.000000
10,519073.000000,515973.800000,0.000000,1,2,1,1,419178.396000,356099.052000,64559.000000,34514.000000,6,1,1,329678.051000,319230.470000,13851.000000,38272.000000,4,1,1,300269.612000,281124.813000,23724.000000,30946.000000,9,1,1,247129.771000,243518.407000,10782.000000,34166.000000,8,1,1,237379.713000,202096.261000,50771.000000,19869.000000,10,0,0,0.000000,0.000000,0.000000,27394.000000,6,0,0,0.000000,0.000000,0.000000,41996.000000,6,0,0,0.000000,0.000000,0.000000,31480.000000,3,1,1,100056.011000,60668.201000,53080.000000,26361.000000,7,0,0,0.000000,0.000000,0.000000,17308.000000
11,529970.000000,517246.181818,0.000000,1,7,1,1,399529.431000,356099.052000,44965.000000,49471.000000,4,1,1,341457.369000,319305.560000,27830.000000,27660.000000,2,1,1,320780.502000,281424.241000,57729.000000,35671.000000,0,0,0,0.000000,0.000000,0.000000,45468.000000,7,1,1,213754.240000,194563.784000,22735.000000,37506.000000,3,1,1,185100.749000,154927.915000,55508.000000,29665.000000,6,0,0,0.000000,0.000000,0.000000,36161.000000,5,0,0,0.000000,0.000000,0.000000,28929.000000,3,0,0,0.000000,0.000000,0.000000,16594.000000,8,0,0,0.000000,0.000000,0.000000,14078.000000
12,502493.000000,516016.750000,1.000000,1,4,1,1,386964.503000,356099.052000,32526.000000,46359.000000,1,1,1,331075.269000,319527.023000,14026.000000,33130.000000,2,1,1,323837.282000,281056.878000,57729.000000,45043.000000,3,1,1,278015.883000,230939.851000,68280.000000,42438.000000,10,0,0,0.000000,0.000000,0.000000,23950.000000,6,0,0,0.000000,0.000000,0.000000,33349.000000,5,0,0,0.000000,0.000000,0.000000,27068.000000,8,0,0,0.000000,0.000000,0.000000,34969.000000,10,0,0,0.000000,0.000000,0.000000,29633.000000,6,0,0,0.000000,0.000000,0.000000,13993.000000
13,533666.000000,517374.384615,0.000000,1,0,0,0,0.000000,0.000000,0.000000,30604.000000,6,1,1,334077.703000,320354.431000,13851.000000,37187.000000,3,1,1,360326.921000,284941.850000,78912.000000,29658.000000,3,1,1,294257.678000,245413.221000,54216.000000,45306.000000,10,1,1,237358.760000,203615.474000,54094.000000,25782.000000,4,1,1,168167.339000,155576.237000,25284.000000,31474.000000,10,0,0,0.000000,0.000000,0.000000,34058.000000,10,0,0,0.000000,0.000000,0.000000,35444.000000,7,0,0,0.000000,0.000000,0.000000,22504.000000,5,0,0,0.000000,0.000000,0.000000,15292.000000
14,548779.000000,519617.571429,1.000000,1,6,1,1,369673.308000,356099.052000,13851.000000,34091.000000,3,1,1,394250.410000,319950.610000,78912.000000,40092.000000,3,1,1,326667.333000,278712.476000,54216.000000,28163.000000,10,1,1,268117.229000,234462.030000,50734.000000,42190.000000,4,1,1,190943.626000,181561.569000,22738.000000,29969.000000,2,1,1,153678.358000,137730.568000,30379.000000,26286.000000,5,0,0,0.000000,0.000000,0.000000,22286.000000,9,1,1,73258.850000,69853.778000,12006.000000,33474.000000,1,0,0,0.000000,0.000000,0.000000,18726.000000,1,0,0,0.000000,0.000000,0.000000,10666.000000
15,517787.000000,519495.533333,1.000000,1,2,1,1,419178.396000,356099.052000,64559.000000,37098.000000,6,1,1,329702.289000,319254.708000,13851.000000,39750.000000,4,1,1,301768.147000,281496.452000,23724.000000,23297.000000,0,0,0,0.000000,0.000000,0.000000,39656.000000,3,1,1,257011.706000,209385.160000,62792.000000,44737.000000,2,1,1,177386.448000,154294.668000,30379.000000,20184.000000,9,1,1,124415.830000,116023.774000,11394.000000,33192.000000,5,1,1,85012.048000,81174.986000,9679.000000,28040.000000,7,0,0,0.000000,0.000000,0.000000,16646.000000,1,0,0,0.000000,0.000000,0.000000,18809.000000
16,473755.000000,516636.750000,0.000000,1,4,1,1,386964.503000,356099.052000,32526.000000,31126.000000,0,0,0,0.000000,0.000000,0.000000,47824.000000,2,1,1,331748.167000,283987.017000,57729.000000,49155.000000,6,1,1,246106.356000,239047.641000,9663.000000,26001.000000,7,1,1,217433.132000,197132.662000,27703.000000,37538.000000,9,1,0,156392.111000,157489.343000,0.000000,34924.000000,5,1,1,128378.138000,125345.208000,9429.000000,38348.000000,4,0,0,0.000000,0.000000,0.000000,35480.000000,0,0,0,0.000000,0.000000,0.000000,22166.000000,0,0,0,0.000000,0.000000,0.000000,14143.000000
17,494412.000000,515329.411765,0.000000,1,7,1,1,399529.431000,356099.052000,44965.000000,25926.000000,1,1,1,330952.059000,319051.480000,13385.000000,39520.000000,5,1,1,287612.845000,279790.960000,9429.000000,35737.000000,2,1,1,279852.574000,243190.515000,54969.000000,34458.000000,7,1,1,210550.081000,192031.169000,22735.000000,33390.000000,3,1,1,191189.148000,157138.704000,57936.000000,17414.000000,10,0,0,0.000000,0.000000,0.000000,33535.000000,2,0,0,0.000000,0.000000,0.000000,24595.000000,0,0,0,0.000000,0.000000,0.000000,18909.000000,10,0,0,0.000000,0.000000,0.000000,27509.000000
18,488750.000000,513852.777778,1.000000,1,7,1,1,399529.431000,356099.052000,44965.000000,29443.000000,6,1,1,328495.330000,319235.092000,9663.000000,30309.000000,3,1,1,339939.763000,284347.420000,76512.000000,28020.000000,0,0,0,0.000000,0.000000,0.000000,30134.000000,4,1,1,201512.172000,187607.630000,21418.000000,26349.000000,3,1,1,188527.824000,148904.367000,51816.000000,31821.000000,6,1,1,115274.575000,106171.755000,11239.000000,29384.000000,0,0,0,0.000000,0.000000,0.000000,33086.000000,6,1,1,44022.916000,40499.857000,6015.000000,14407.000000,1,0,0,0.000000,0.000000,0.000000,14169.000000
19,511666.000000,513737.684211,0.000000,1,1,1,1,372507.803000,356099.052000,17231.000000,45173.000000,10,1,1,379132.004000,317904.548000,78954.000000,48721.000000,3,1,1,307937.777000,257215.623000,65536.000000,29728.000000,8,0,0,0.000000,0.000000,0.000000,24762.000000,2,1,1,203708.843000,174901.193000,35799.000000,32669.000000,6,0,0,0.000000,0.000000,0.000000,52089.000000,7,0,0,0.000000,0.000000,0.000000,29442.000000,9,0,0,0.000000,0.000000,0.000000,18404.000000,0,0,0,0.000000,0.000000,0.000000,17196.000000,5,0,0,0.000000,0.000000,0.000000,15962.000000
20,464432.000000,511272.400000,1.000000,1,0,0,0,0.000000,0.000000,0.000000,33640.000000,4,1,1,350642.096000,320383.361000,32526.000000,34974.000000,1,1,1,295876.973000,283760.916000,13385.000000,38647.000000,0,0,0,0.000000,0.000000,0.000000,37626.000000,3,1,1,266781.598000,209774.336000,73768.000000,36183.000000,10,0,0,0.000000,0.000000,0.000000,33916.000000,0,0,0,0.000000,0.000000,0.000000,33392.000000,9,1,1,103329.852000,95769.591000,10782.000000,29004.000000,1,1,1,65877.307000,62435.659000,10941.000000,29642.000000,3,0,0,0.000000,0.000000,0.000000,16006.000000
21,507336.000000,511084.952381,0.000000,1,0,0,0,0.000000,0.000000,0.000000,24444.000000,8,1,1,386193.806000,320367.252000,68435.000000,40406.000000,6,1,1,291990.123000,282924.372000,9663.000000,42520.000000,5,1,1,254291.907000,247145.327000,9429.000000,34835.000000,10,1,1,259314.335000,209619.899000,63264.000000,25146.000000,8,1,1,193513.327000,166498.144000,39515.000000,38051.000000,10,0,0,0.000000,0.000000,0.000000,41957.000000,9,1,0,79163.305000,80188.381000,0.000000,18335.000000,9,0,0,0.000000,0.000000,0.000000,29137.000000,5,0,0,0.000000,0.000000,0.000000,22199.000000
22,454311.000000,508504.318182,0.000000,1,4,1,1,386964.503000,356099.052000,32526.000000,33179.000000,7,1,1,350690.128000,319345.574000,39115.000000,32946.000000,3,1,1,323503.558000,272606.949000,76512.000000,32092.000000,6,1,1,217982.698000,213196.874000,8447.000000,32439.000000,0,0,0,0.000000,0.000000,0.000000,35193.000000,5,0,0,0.000000,0.000000,0.000000,32790.000000,9,0,0,0.000000,0.000000,0.000000,27153.000000,8,0,0,0.000000,0.000000,0.000000,27021.000000,5,0,0,0.000000,0.000000,0.000000,32782.000000,1,0,0,0.000000,0.000000,0.000000,12116.000000
23,471071.000000,506876.782609,1.000000,1,5,1,1,367815.077000,356099.052000,12067.000000,34554.000000,5,1,1,328107.448000,319982.423000,9429.000000,47543.000000,5,1,1,281195.743000,279063.748000,9429.000000,34110.000000,9,1,1,254391.898000,238761.403000,16176.000000,49773.000000,3,1,1,254736.081000,205665.625000,65536.000000,29854.000000,8,0,0,0.000000,0.000000,0.000000,30409.000000,0,0,0,0.000000,0.000000,0.000000,30455.000000,7,0,0,0.000000,0.000000,0.000000,30777.000000,5,0,0,0.000000,0.000000,0.000000,29773.000000,9,1,1,42200.389000,27710.725000,14958.000000,26228.000000
24,525000.000000,507631.916667,0.000000,1,10,1,1,434409.682000,356099.052000,82314.000000,36191.000000,10,1,1,372952.993000,317805.112000,64374.000000,19159.000000,4,1,1,292694.705000,277562.196000,23964.000000,36543.000000,3,1,1,259628.184000,228644.291000,44848.000000,35025.000000,4,1,0,180314.769000,180197.325000,0.000000,29824.000000,5,1,0,146352.597000,150672.786000,0.000000,33618.000000,9,1,1,119126.408000,116195.975000,10170.000000,23967.000000,6,1,0,77341.264000,77493.448000,0.000000,21996.000000,8,0,0,0.000000,0.000000,0.000000,29735.000000,8,0,0,0.000000,0.000000,0.000000,33272.000000
25,477310.000000,506419.040000,1.000000,1,2,1,1,419178.396000,356099.052000,64559.000000,20013.000000,0,0,0,0.000000,0.000000,0.000000,30102.000000,1,1,1,297956.394000,284558.178000,14667.000000,43512.000000,7,1,1,276031.788000,246592.642000,39115.000000,38543.000000,4,1,1,207478.556000,196373.221000,18872.000000,35619.000000,10,1,1,192009.979000,157635.146000,49944.000000,41595.000000,7,0,0,0.000000,0.000000,0.000000,18980.000000,0,0,0,0.000000,0.000000,0.000000,23893.000000,4,0,0,0.000000,0.000000,0.000000,21994.000000,9,0,0,0.000000,0.000000,0.000000,15902.000000
26,430211.000000,503487.961538,0.000000,1,1,1,1,372507.803000,356099.052000,17231.000000,33578.000000,9,1,1,331067.703000,319934.124000,12618.000000,31246.000000,6,1,1,288964.469000,282867.645000,8447.000000,47319.000000,6,1,1,248919.566000,244477.561000,7231.000000,41837.000000,4,1,1,214666.775000,204078.456000,27830.000000,40138.000000,0,0,0,0.000000,0.000000,0.000000,33847.000000,0,0,0,0.000000,0.000000,0.000000,30395.000000,8,0,0,0.000000,0.000000,0.000000,30154.000000,0,0,0,0.000000,0.000000,0.000000,39889.000000,0,0,0,0.000000,0.000000,0.000000,28451.000000
27,544936.000000,505023.074074,1.000000,1,7,1,1,399529.431000,356099.052000,44965.000000,27188.000000,3,1,1,373358.325000,319216.642000,76512.000000,47778.000000,3,1,1,299598.379000,257893.503000,49388.000000,36925.000000,2,1,1,236401.267000,212640.046000,33794.000000,37534.000000,6,1,1,176547.741000,168498.663000,9663.000000,42335.000000,3,1,1,146251.436000,135411.771000,34820.000000,34528.000000,9,1,1,79154.868000,74429.034000,11394.000000,13579.000000,0,0,0,0.000000,0.000000,0.000000,10804.000000,6,0,0,0.000000,0.000000,0.000000,12677.000000,10,0,0,0.000000,0.000000,0.000000,21052.000000
28,447029.000000,502951.857143,0.000000,1,0,0,0,0.000000,0.000000,0.000000,34525.000000,8,1,1,386155.259000,320325.213000,68435.000000,37000.000000,9,1,1,293557.470000,282685.815000,12618.000000,31180.000000,1,1,1,252188.206000,244217.872000,10941.000000,25121.000000,9,1,1,210684.145000,207348.310000,10170.000000,30062.000000,9,1,0,165653.451000,167741.010000,0.000000,47843.000000,5,1,1,133104.737000,124655.437000,9429.000000,44273.000000,8,0,0,0.000000,0.000000,0.000000,28457.000000,9,0,0,0.000000,0.000000,0.000000,31016.000000,4,0,0,0.000000,0.000000,0.000000,25959.000000
29,470172.000000,501821.517241,0.000000,1,1,1,1,372507.803000,356099.052000,17231.000000,44760.000000,4,1,1,342669.449000,319598.495000,27830.000000,37849.000000,1,1,1,284800.659000,276615.922000,9659.000000,34249.000000,10,1,1,289149.407000,240117.701000,72234.000000,33864.000000,1,0,0,0.000000,0.000000,0.000000,35367.000000,1,0,0,0.000000,0.000000,0.000000,48521.000000,1,0,0,0.000000,0.000000,0.000000,31288.000000,4,0,0,0.000000,0.000000,0.000000,25009.000000,5,0,0,0.000000,0.000000,0.000000,26617.000000,0,0,0,0.000000,0.000000,0.000000,25694.000000
30,512176.000000,502166.666667,1.000000,1,10,1,1,434409.682000,356099.052000,82314.000000,37296.000000,0,0,0,0.000000,0.000000,0.000000,43152.000000,5,1,1,284169.961000,278803.521000,9429.000000,45684.000000,1,1,1,249868.798000,238136.312000,13385.000000,27175.000000,3,1,1,247709.320000,205001.605000,57304.000000,29562.000000,9,1,1,163688.275000,155079.028000,12006.000000,28099.000000,0,0,0,0.000000,0.000000,0.000000,33098.000000,10,0,0,0.000000,0.000000,0.000000,52967.000000,2,0,0,0.000000,0.000000,0.000000,22561.000000,5,0,0,0.000000,0.000000,0.000000,18144.000000
31,509184.000000,502393.032258,0.000000,1,6,1,1,369673.308000,356099.052000,13851.000000,30574.000000,10,1,1,393477.433000,320195.742000,82314.000000,40966.000000,10,1,1,325700.148000,274631.518000,57654.000000,26688.000000,6,1,1,241862.590000,236720.670000,9055.000000,45614.000000,0,0,0,0.000000,0.000000,0.000000,44386.000000,0,0,0,0.000000,0.000000,0.000000,37185.000000,8,0,0,0.000000,0.000000,0.000000,33163.000000,1,0,0,0.000000,0.000000,0.000000,31956.000000,2,0,0,0.000000,0.000000,0.000000,21741.000000,7,0,0,0.000000,0.000000,0.000000,34037.000000
32,434395.000000,500268.093750,0.000000,1,7,1,1,399529.431000,356099.052000,44965.000000,33614.000000,4,1,1,340281.291000,319035.657000,24898.000000,32687.000000,5,1,1,285447.203000,280290.943000,9429.000000,52054.000000,4,1,1,252505.174000,241118.124000,17646.000000,34566.000000,1,1,1,208389.905000,203562.867000,11582.000000,29495.000000,4,1,1,161602.190000,160666.610000,17646.000000,26119.000000,10,0,0,0.000000,0.000000,0.000000,30277.000000,1,0,0,0.000000,0.000000,0.000000,25967.000000,6,0,0,0.000000,0.000000,0.000000,17789.000000,10,0,0,0.000000,0.000000,0.000000,25661.000000
33,503386.000000,500362.575758,1.000000,1,10,1,1,434409.682000,356099.052000,82314.000000,34380.000000,4,1,1,337510.670000,317133.749000,23724.000000,27278.000000,7,1,1,302319.452000,280401.886000,32563.000000,46855.000000,9,1,0,229772.878000,229658.155000,0.000000,31628.000000,10,1,1,227552.603000,197417.783000,55319.000000,43032.000000,0,0,0,0.000000,0.000000,0.000000,25008.000000,0,0,0,0.000000,0.000000,0.000000,36891.000000,1,0,0,0.000000,0.000000,0.000000,17159.000000,10,0,0,0.000000,0.000000,0.000000,24051.000000,8,0,0,0.000000,0.000000,0.000000,23184.000000
34,536520.000000,501426.029412,0.000000,1,2,1,1,419178.396000,356099.052000,64559.000000,38823.000000,0,0,0,0.000000,0.000000,0.000000,41465.000000,7,1,1,315224.003000,283941.152000,39115.000000,29858.000000,7,1,1,267020.802000,241105.347000,29359.000000,32157.000000,10,1,1,239097.640000,204134.383000,50734.000000,37550.000000,7,1,1,162462.978000,153783.599000,24685.000000,35501.000000,2,1,1,112119.851000,107303.572000,42679.000000,29808.000000,7,0,0,0.000000,0.000000,0.000000,19351.000000,5,0,0,0.000000,0.000000,0.000000,14564.000000,0,0,0,0.000000,0.000000,0.000000,6312.000000
35,483292.000000,500907.914286,1.000000,1,0,0,0,0.000000,0.000000,0.000000,36494.000000,4,1,1,351816.565000,320295.330000,32526.000000,32614.000000,9,1,1,295424.419000,284552.764000,12618.000000,37914.000000,3,1,1,311006.744000,246182.707000,76512.000000,28768.000000,5,1,1,203907.928000,201517.353000,9429.000000,37593.000000,6,1,1,168437.995000,161267.615000,10451.000000,33622.000000,3,1,1,165652.774000,125025.340000,46960.000000,20344.000000,0,0,0,0.000000,0.000000,0.000000,29104.000000,5,0,0,0.000000,0.000000,0.000000,21530.000000,2,0,0,0.000000,0.000000,0.000000,16813.000000
36,452892.000000,499574.138889,0.000000,1,5,1,1,367815.077000,356099.052000,12067.000000,36137.000000,5,1,1,329435.111000,320274.126000,10725.000000,33495.000000,10,1,1,346957.815000,283882.948000,75594.000000,22336.000000,6,1,1,247798.628000,238624.511000,9663.000000,33779.000000,4,1,1,218654.620000,205748.357000,18872.000000,9380.000000,8,1,1,205044.278000,170053.546000,57435.000000,39322.000000,9,1,0,112308.815000,113930.642000,0.000000,21034.000000,0,0,0,0.000000,0.000000,0.000000,21328.000000,5,0,0,0.000000,0.000000,0.000000,29412.000000,1,0,0,0.000000,0.000000,0.000000,22313.000000
37,504411.000000,499704.864865,1.000000,1,8,1,1,421286.927000,356099.052000,68435.000000,30969.000000,1,1,1,329850.019000,318397.856000,13385.000000,41669.000000,1,1,1,288611.357000,280780.513000,10300.000000,38340.000000,7,1,1,266924.275000,243522.878000,34255.000000,23495.000000,5,1,1,201175.269000,195393.909000,9429.000000,39783.000000,7,1,1,171968.879000,155272.756000,22735.000000,21419.000000,2,0,0,0.000000,0.000000,0.000000,34913.000000,10,0,0,0.000000,0.000000,0.000000,30554.000000,3,1,1,93655.024000,54491.423000,47276.000000,21360.000000,6,0,0,0.000000,0.000000,0.000000,16094.000000
38,534864.000000,500630.105263,0.000000,1,1,1,1,372507.803000,356099.052000,17231.000000,27958.000000,10,1,1,388902.591000,319967.037000,78954.000000,34036.000000,6,1,1,283048.438000,275767.762000,9663.000000,51460.000000,3,1,1,287088.066000,238589.905000,54216.000000,37541.000000,4,1,1,210670.004000,198658.174000,17646.000000,36147.000000,5,1,1,161791.128000,159315.795000,9008.000000,19327.000000,1,1,1,127185.482000,123194.374000,10300.000000,39010.000000,9,1,0,78582.185000,80170.880000,0.000000,43078.000000,4,0,0,0.000000,0.000000,0.000000,35630.000000,7,0,0,0.000000,0.000000,0.000000,13659.000000
39,546328.000000,501801.846154,1.000000,1,2,1,1,419178.396000,356099.052000,64559.000000,63754.000000,4,1,1,336454.474000,316375.844000,23724.000000,19569.000000,10,1,1,325449.105000,281084.870000,60694.000000,43737.000000,9,1,1,232636.908000,230636.388000,10170.000000,36833.000000,9,1,0,184610.450000,188027.831000,0.000000,33177.000000,3,1,1,181162.873000,151248.563000,47908.000000,37835.000000,7,0,0,0.000000,0.000000,0.000000,34468.000000,5,0,0,0.000000,0.000000,0.000000,28493.000000,1,0,0,0.000000,0.000000,0.000000,23028.000000,1,0,0,0.000000,0.000000,0.000000,18379.000000
40,512175.000000,502061.175000,0.000000,1,9,1,1,371452.803000,356099.052000,16176.000000,31671.000000,10,1,1,386848.853000,319709.518000,78954.000000,33346.000000,0,0,0,0.000000,0.000000,0.000000,49748.000000,0,0,0,0.000000,0.000000,0.000000,42707.000000,10,1,1,250811.939000,202734.083000,61014.000000,34509.000000,9,0,0,0.000000,0.000000,0.000000,45423.000000,1,0,0,0.000000,0.000000,0.000000,41004.000000,0,0,0,0.000000,0.000000,0.000000,18316.000000,1,0,0,0.000000,0.000000,0.000000,33744.000000,0,0,0,0.000000,0.000000,0.000000,25563.000000
41,537838.000000,502933.780488,0.000000,1,5,1,1,367815.077000,356099.052000,12067.000000,31044.000000,3,1,1,384398.488000,319980.253000,76512.000000,35497.000000,4,1,1,292793.094000,273281.499000,22550.000000,36118.000000,9,1,1,248896.954000,232861.987000,16176.000000,51344.000000,3,1,1,231300.715000,196134.734000,52448.000000,40062.000000,0,0,0,0.000000,0.000000,0.000000,25962.000000,10,0,0,0.000000,0.000000,0.000000,32169.000000,6,1,1,93737.410000,84151.355000,12455.000000,33471.000000,0,0,0,0.000000,0.000000,0.000000,40615.000000,4,0,0,0.000000,0.000000,0.000000,19348.000000
42,448984.000000,501649.261905,1.000000,1,1,1,1,372507.803000,356099.052000,17231.000000,35014.000000,9,1,1,330894.368000,319948.574000,12618.000000,37168.000000,9,1,1,283790.933000,280535.771000,10170.000000,32899.000000,0,0,0,0.000000,0.000000,0.000000,31738.000000,8,1,1,240676.343000,202868.249000,50835.000000,41616.000000,4,0,0,0.000000,0.000000,0.000000,28075.000000,5,1,1,134176.181000,122109.181000,12067.000000,42139.000000,2,0,0,0.000000,0.000000,0.000000,19311.000000,0,0,0,0.000000,0.000000,0.000000,41089.000000,10,0,0,0.000000,0.000000,0.000000,37014.000000
43,457467.000000,500621.767442,0.000000,1,4,1,1,386964.503000,356099.052000,32526.000000,25742.000000,6,1,1,328607.987000,319347.749000,9663.000000,43764.000000,0,0,0,0.000000,0.000000,0.000000,49142.000000,5,1,1,256142.012000,248346.507000,9429.000000,27819.000000,0,0,0,0.000000,0.000000,0.000000,44719.000000,4,1,1,192240.528000,176647.315000,22738.000000,30384.000000,4,1,1,139902.012000,133157.799000,19994.000000,29035.000000,3,0,0,0.000000,0.000000,0.000000,35428.000000,6,1,1,62904.880000,58147.117000,6015.000000,37819.000000,0,0,0,0.000000,0.000000,0.000000,33250.000000
