Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,480624.000000,480624.000000,0.000000,1,1,1,1,386527.139000,355575.088000,44749.000000,59700.000000,9,1,1,358903.814000,305678.143000,104901.000000,33088.000000,0,0,0,0.000000,0.000000,0.000000,25716.000000,2,0,0,0.000000,0.000000,0.000000,41452.000000,8,0,0,0.000000,0.000000,0.000000,27462.000000,5,0,0,0.000000,0.000000,0.000000,35156.000000,0,0,0,0.000000,0.000000,0.000000,30481.000000,1,0,0,0.000000,0.000000,0.000000,28173.000000,0,0,0,0.000000,0.000000,0.000000,15568.000000,3,0,0,0.000000,0.000000,0.000000,34178.000000
2,517635.000000,499129.500000,1.000000,1,5,1,1,479146.755000,355575.088000,175677.000000,32124.000000,3,1,1,273359.945000,268873.268000,116776.000000,44473.000000,10,0,0,0.000000,0.000000,0.000000,34021.000000,1,1,1,116731.560000,91145.962000,41915.000000,8883.000000,9,0,0,0.000000,0.000000,0.000000,26599.000000,0,0,0,0.000000,0.000000,0.000000,12520.000000,10,0,0,0.000000,0.000000,0.000000,13859.000000,8,0,0,0.000000,0.000000,0.000000,0.000000,7,0,0,0.000000,0.000000,0.000000,8091.000000,2,0,0,0.000000,0.000000,0.000000,2697.000000
3,476435.000000,491564.666667,0.000000,1,7,1,1,414573.213000,355575.088000,77688.000000,30375.000000,4,1,1,334405.127000,299818.792000,67257.000000,62828.000000,6,0,0,0.000000,0.000000,0.000000,52099.000000,0,0,0,0.000000,0.000000,0.000000,34650.000000,5,0,0,0.000000,0.000000,0.000000,26266.000000,10,0,0,0.000000,0.000000,0.000000,32879.000000,3,0,0,0.000000,0.000000,0.000000,15822.000000,1,0,0,0.000000,0.000000,0.000000,14972.000000,10,0,0,0.000000,0.000000,0.000000,40517.000000,6,0,0,0.000000,0.000000,0.000000,21082.000000
4,480817.000000,488877.750000,0.000000,1,6,1,1,481354.225000,355575.088000,158984.000000,40537.000000,9,1,1,295224.481000,283126.016000,85974.000000,35704.000000,3,0,0,0.000000,0.000000,0.000000,41461.000000,5,0,0,0.000000,0.000000,0.000000,22745.000000,10,0,0,0.000000,0.000000,0.000000,31867.000000,0,0,0,0.000000,0.000000,0.000000,8536.000000,5,0,0,0.000000,0.000000,0.000000,8653.000000,8,0,0,0.000000,0.000000,0.000000,8689.000000,9,0,0,0.000000,0.000000,0.000000,10128.000000,4,0,0,0.000000,0.000000,0.000000,27539.000000
5,488634.000000,488829.000000,1.000000,1,10,1,1,513244.800000,355575.088000,218958.000000,33717.000000,1,1,0,259896.484000,260323.906000,0.000000,27991.000000,8,1,0,222901.149000,225212.348000,0.000000,27273.000000,2,0,0,0.000000,0.000000,0.000000,24215.000000,2,0,0,0.000000,0.000000,0.000000,17779.000000,5,0,0,0.000000,0.000000,0.000000,38749.000000,6,0,0,0.000000,0.000000,0.000000,26912.000000,8,0,0,0.000000,0.000000,0.000000,27344.000000,0,0,0,0.000000,0.000000,0.000000,25410.000000,0,0,0,0.000000,0.000000,0.000000,20286.000000
6,519036.000000,493863.500000,1.000000,1,10,1,1,513244.800000,355575.088000,218958.000000,31604.000000,1,1,0,257350.498000,264923.199000,0.000000,40200.000000,3,1,1,238264.269000,226071.366000,124192.000000,24928.000000,3,0,0,0.000000,0.000000,0.000000,24290.000000,8,0,0,0.000000,0.000000,0.000000,23764.000000,0,0,0,0.000000,0.000000,0.000000,8590.000000,6,0,0,0.000000,0.000000,0.000000,9514.000000,2,0,0,0.000000,0.000000,0.000000,10299.000000,1,0,0,0.000000,0.000000,0.000000,2697.000000,1,0,0,0.000000,0.000000,0.000000,0.000000
7,533878.000000,499579.857143,0.000000,1,6,1,1,481354.225000,355575.088000,158984.000000,48035.000000,0,0,0,0.000000,0.000000,0.000000,32244.000000,1,1,1,252050.046000,250759.238000,29983.000000,57152.000000,9,0,0,0.000000,0.000000,0.000000,56665.000000,4,0,0,0.000000,0.000000,0.000000,30616.000000,0,0,0,0.000000,0.000000,0.000000,27569.000000,2,0,0,0.000000,0.000000,0.000000,47560.000000,0,0,0,0.000000,0.000000,0.000000,13957.000000,6,0,0,0.000000,0.000000,0.000000,12448.000000,10,0,0,0.000000,0.000000,0.000000,18665.000000
8,375915.000000,484121.750000,0.000000,1,8,1,1,414438.888000,355575.088000,82118.000000,23754.000000,1,1,0,296676.791000,297803.153000,0.000000,33736.000000,1,0,0,0.000000,0.000000,0.000000,24109.000000,5,0,0,0.000000,0.000000,0.000000,18523.000000,1,0,0,0.000000,0.000000,0.000000,24369.000000,4,0,0,0.000000,0.000000,0.000000,20975.000000,5,0,0,0.000000,0.000000,0.000000,55139.000000,0,0,0,0.000000,0.000000,0.000000,33603.000000,1,0,0,0.000000,0.000000,0.000000,37087.000000,4,0,0,0.000000,0.000000,0.000000,22502.000000
9,460273.000000,481471.888889,1.000000,1,8,1,1,414438.888000,355575.088000,82118.000000,46386.000000,5,1,1,358954.923000,292805.279000,138237.000000,36083.000000,8,0,0,0.000000,0.000000,0.000000,37041.000000,7,0,0,0.000000,0.000000,0.000000,19380.000000,10,0,0,0.000000,0.000000,0.000000,17685.000000,2,0,0,0.000000,0.000000,0.000000,23787.000000,2,0,0,0.000000,0.000000,0.000000,23784.000000,7,0,0,0.000000,0.000000,0.000000,11803.000000,5,0,0,0.000000,0.000000,0.000000,12467.000000,8,0,0,0.000000,0.000000,0.000000,11502.000000
10,452303.000000,478555.000000,0.000000,1,9,1,1,445508.395000,355575.088000,119937.000000,40722.000000,4,1,1,290828.128000,280089.554000,53973.000000,28001.000000,10,0,0,0.000000,0.000000,0.000000,37159.000000,9,0,0,0.000000,0.000000,0.000000,40557.000000,0,0,0,0.000000,0.000000,0.000000,41355.000000,8,0,0,0.000000,0.000000,0.000000,11492.000000,6,0,0,0.000000,0.000000,0.000000,36992.000000,1,0,0,0.000000,0.000000,0.000000,10405.000000,2,0,0,0.000000,0.000000,0.000000,24049.000000,8,0,0,0.000000,0.000000,0.000000,7661.000000
