Experiment,revenue,first_k_avg_rev,time,sold_out,order_t10,acceptable_t10,decision_t10,rev_acc_t10,rev_rej_t10,rev_order_t10,rev_ind_t10,order_t9,acceptable_t9,decision_t9,rev_acc_t9,rev_rej_t9,rev_order_t9,rev_ind_t9,order_t8,acceptable_t8,decision_t8,rev_acc_t8,rev_rej_t8,rev_order_t8,rev_ind_t8,order_t7,acceptable_t7,decision_t7,rev_acc_t7,rev_rej_t7,rev_order_t7,rev_ind_t7,order_t6,acceptable_t6,decision_t6,rev_acc_t6,rev_rej_t6,rev_order_t6,rev_ind_t6,order_t5,acceptable_t5,decision_t5,rev_acc_t5,rev_rej_t5,rev_order_t5,rev_ind_t5,order_t4,acceptable_t4,decision_t4,rev_acc_t4,rev_rej_t4,rev_order_t4,rev_ind_t4,order_t3,acceptable_t3,decision_t3,rev_acc_t3,rev_rej_t3,rev_order_t3,rev_ind_t3,order_t2,acceptable_t2,decision_t2,rev_acc_t2,rev_rej_t2,rev_order_t2,rev_ind_t2,order_t1,acceptable_t1,decision_t1,rev_acc_t1,rev_rej_t1,rev_order_t1,rev_ind_t1
1,300573.000000,300573.000000,0.000000,1,10,1,1,233121.207000,147834.357000,86212.000000,20961.000000,6,1,1,178816.215000,129818.925000,52196.000000,9961.000000,4,1,1,139570.843000,112858.103000,39063.000000,7654.000000,0,0,0,0.000000,0.000000,0.000000,10637.000000,2,0,0,0.000000,0.000000,0.000000,11076.000000,10,0,0,0.000000,0.000000,0.000000,12551.000000,10,0,0,0.000000,0.000000,0.000000,24373.000000,6,0,0,0.000000,0.000000,0.000000,15748.000000,6,0,0,0.000000,0.000000,0.000000,4574.000000,3,0,0,0.000000,0.000000,0.000000,5567.000000
2,351411.000000,325992.000000,0.000000,1,6,1,1,215180.111000,147834.357000,70616.000000,11570.000000,1,1,1,158566.464000,130028.520000,28817.000000,6925.000000,9,1,1,212936.488000,116896.374000,103487.000000,23572.000000,2,0,0,0.000000,0.000000,0.000000,24976.000000,9,0,0,0.000000,0.000000,0.000000,20636.000000,0,0,0,0.000000,0.000000,0.000000,15417.000000,7,0,0,0.000000,0.000000,0.000000,8548.000000,9,0,0,0.000000,0.000000,0.000000,7471.000000,6,0,0,0.000000,0.000000,0.000000,9492.000000,1,1,1,28617.495000,13503.376000,17313.000000,2571.000000
3,327875.000000,326619.666667,1.000000,1,0,0,0,0.000000,0.000000,0.000000,16586.000000,5,1,1,224135.735000,132590.665000,93799.000000,12833.000000,6,1,1,164017.669000,117019.836000,52196.000000,12216.000000,4,1,1,130457.247000,98365.563000,40419.000000,8218.000000,10,0,0,0.000000,0.000000,0.000000,15910.000000,7,1,1,93107.792000,62824.704000,31102.000000,10663.000000,0,0,0,0.000000,0.000000,0.000000,6243.000000,0,0,0,0.000000,0.000000,0.000000,15881.000000,0,0,0,0.000000,0.000000,0.000000,6070.000000,10,0,0,0.000000,0.000000,0.000000,5739.000000
4,355776.000000,333908.750000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,18022.000000,6,1,1,199851.033000,132590.665000,70616.000000,22146.000000,9,1,1,206902.894000,114013.952000,103487.000000,27139.000000,1,1,1,114439.308000,88121.604000,28207.000000,8717.000000,3,0,0,0.000000,0.000000,0.000000,13754.000000,8,0,0,0.000000,0.000000,0.000000,11458.000000,6,0,0,0.000000,0.000000,0.000000,5690.000000,8,0,0,0.000000,0.000000,0.000000,13703.000000,2,0,0,0.000000,0.000000,0.000000,11745.000000,5,0,0,0.000000,0.000000,0.000000,21092.000000
5,386413.000000,344409.600000,0.000000,1,10,1,1,233121.207000,147834.357000,86212.000000,15365.000000,7,1,1,149754.218000,131249.191000,24448.000000,13549.000000,2,0,0,0.000000,0.000000,0.000000,19227.000000,8,1,1,191557.120000,98776.599000,105773.000000,9374.000000,6,1,1,104067.624000,72411.429000,37948.000000,3631.000000,8,0,0,0.000000,0.000000,0.000000,7358.000000,6,0,0,0.000000,0.000000,0.000000,19289.000000,10,0,0,0.000000,0.000000,0.000000,11863.000000,2,0,0,0.000000,0.000000,0.000000,18576.000000,5,0,0,0.000000,0.000000,0.000000,13800.000000
6,422860.000000,357484.666667,1.000000,1,8,1,1,276476.727000,147834.357000,132677.000000,2930.000000,3,1,1,210059.590000,129633.103000,90864.000000,16520.000000,0,0,0,0.000000,0.000000,0.000000,7292.000000,6,1,1,120583.456000,94750.578000,36798.000000,5524.000000,6,0,0,0.000000,0.000000,0.000000,16946.000000,7,1,1,88639.844000,56404.596000,32350.000000,7912.000000,1,1,1,64762.948000,43532.700000,21997.000000,16630.000000,0,0,0,0.000000,0.000000,0.000000,19022.000000,5,0,0,0.000000,0.000000,0.000000,2856.000000,0,0,0,0.000000,0.000000,0.000000,12542.000000
7,363777.000000,358383.571429,0.000000,1,5,1,1,239852.235000,147834.357000,93799.000000,20238.000000,5,1,1,193753.735000,130643.008000,67156.000000,25470.000000,5,1,1,135318.375000,108493.262000,53596.000000,5696.000000,8,0,0,0.000000,0.000000,0.000000,18835.000000,3,0,0,0.000000,0.000000,0.000000,19963.000000,9,0,0,0.000000,0.000000,0.000000,4734.000000,0,0,0,0.000000,0.000000,0.000000,7852.000000,10,0,0,0.000000,0.000000,0.000000,13376.000000,1,1,1,42314.553000,15140.049000,27597.000000,1765.000000,4,0,0,0.000000,0.000000,0.000000,3700.000000
8,276681.000000,348170.750000,0.000000,1,0,0,0,0.000000,0.000000,0.000000,8247.000000,4,1,1,201219.831000,132590.665000,71215.000000,21302.000000,0,0,0,0.000000,0.000000,0.000000,16174.000000,0,0,0,0.000000,0.000000,0.000000,10412.000000,9,0,0,0.000000,0.000000,0.000000,15126.000000,0,0,0,0.000000,0.000000,0.000000,5437.000000,0,0,0,0.000000,0.000000,0.000000,7794.000000,4,0,0,0.000000,0.000000,0.000000,19782.000000,4,0,0,0.000000,0.000000,0.000000,23479.000000,5,1,1,81210.568000,13290.878000,69217.000000,8496.000000
9,399225.000000,353843.444444,1.000000,1,5,1,1,239852.235000,147834.357000,93799.000000,19440.000000,1,1,1,158669.257000,130131.313000,28817.000000,9452.000000,1,1,1,137878.847000,117164.614000,21997.000000,15261.000000,10,1,1,143198.466000,100522.852000,52699.000000,10348.000000,4,0,0,0.000000,0.000000,0.000000,14151.000000,1,0,0,0.000000,0.000000,0.000000,3736.000000,5,1,1,104258.117000,50955.683000,60376.000000,15270.000000,8,0,0,0.000000,0.000000,0.000000,19786.000000,0,0,0,0.000000,0.000000,0.000000,12929.000000,2,0,0,0.000000,0.000000,0.000000,21164.000000
10,313512.000000,349810.300000,0.000000,1,6,1,1,215180.111000,147834.357000,70616.000000,15167.000000,3,1,1,208697.869000,128432.524000,90864.000000,8255.000000,0,0,0,0.000000,0.000000,0.000000,12716.000000,8,0,0,0.000000,0.000000,0.000000,9740.000000,3,0,0,0.000000,0.000000,0.000000,9637.000000,1,1,1,91121.536000,62364.520000,28817.000000,6328.000000,9,0,0,0.000000,0.000000,0.000000,11237.000000,5,0,0,0.000000,0.000000,0.000000,2587.000000,7,1,1,50101.601000,25452.097000,25072.000000,10342.000000,5,0,0,0.000000,0.000000,0.000000,12134.000000
11,399403.000000,354318.727273,0.000000,1,1,1,1,176367.085000,147834.357000,28817.000000,21816.000000,3,1,1,259110.398000,132308.780000,129356.000000,5517.000000,0,0,0,0.000000,0.000000,0.000000,9517.000000,2,1,1,191537.140000,101822.847000,118770.000000,12143.000000,6,0,0,0.000000,0.000000,0.000000,25662.000000,4,0,0,0.000000,0.000000,0.000000,14285.000000,1,0,0,0.000000,0.000000,0.000000,12187.000000,0,0,0,0.000000,0.000000,0.000000,9201.000000,3,0,0,0.000000,0.000000,0.000000,3830.000000,5,0,0,0.000000,0.000000,0.000000,8302.000000
12,368908.000000,355534.500000,1.000000,1,5,1,1,239852.235000,147834.357000,93799.000000,8243.000000,2,1,1,230026.014000,131243.879000,118770.000000,15489.000000,6,1,1,124311.146000,93204.624000,39098.000000,8234.000000,4,0,0,0.000000,0.000000,0.000000,10999.000000,0,0,0,0.000000,0.000000,0.000000,3530.000000,8,0,0,0.000000,0.000000,0.000000,12223.000000,0,0,0,0.000000,0.000000,0.000000,10640.000000,0,0,0,0.000000,0.000000,0.000000,5436.000000,1,1,1,48957.583000,21183.669000,28207.000000,7055.000000,0,0,0,0.000000,0.000000,0.000000,7185.000000
